Category,Subcategory,Test Item,Platform,Theme,Language,Priority,Status,Notes
Core Flow,Landing,"Landing page loads successfully from the root URL",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Hero section copy, CTA buttons, and major sections render without layout breakage",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Primary CTA routes to the correct destination for signed-out users",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Primary CTA routes to the correct destination for signed-in users",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Demo CTA opens the demo flow correctly",All,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Authentication,"Login page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Email login code request works and shows correct success/error states",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"OTP verification succeeds and redirects correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Google login starts correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signup flow works with required policy agreement",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signup complete page loads and required agreements can be submitted",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signed-out access to protected pages redirects to login correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Video-to-map page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Manual text input can generate a Structure Map",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"YouTube transcript import works end-to-end",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Metadata dialog saves correctly and continues the flow",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Generated Structure Map can be opened from the result state",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Credit deduction occurs correctly after successful map generation",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"My Maps page loads successfully",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map list can be searched, filtered, and browsed",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map detail/fullscreen opens from the list correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map preview opens and closes correctly",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Sharing,"Share link generation works correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Sharing,"Shared map can be opened from a public link",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Sharing,"Disabling a share link correctly revokes access",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Billing,"Billing page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Credit pack selection works correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Toss KRW payment completes successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"LemonSqueezy USD payment completes successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Successful payment updates balance and payment history correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Payment receipt page shows correct details",All,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Header layout does not break on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Header layout does not break on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Footer layout does not break on mobile",Mobile,Light/Dark,KO/EN,Medium,Not Started,
Responsive Layout,Global,"Footer layout does not break on desktop",Desktop,Light/Dark,KO/EN,Medium,Not Started,
Responsive Layout,Landing,"Hero section typography and buttons fit correctly on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Landing,"Hero section typography and buttons fit correctly on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Landing,"Testimonials section cards do not overflow on any breakpoint",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Responsive Layout,Landing,"Pricing section cards and ribbon text align correctly on any breakpoint",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Map Library,"Map list toolbar remains usable on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Map Library,"Map list toolbar remains usable on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Map Library,"Map item title wraps naturally without awkward empty space",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Map Detail,"Fullscreen Structure Map controls remain usable on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Map Detail,"Fullscreen Structure Map controls remain usable on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Theme,Global,"Light mode text contrast is readable across all major pages",All,Light,KO/EN,High,Not Started,
Theme,Global,"Dark mode text contrast is readable across all major pages",All,Dark,KO/EN,High,Not Started,
Theme,Global,"Theme toggle updates the UI consistently without stale colors",All,Light/Dark,KO/EN,High,Not Started,
Theme,Landing,"Hero background, cards, and CTA remain visually balanced in light mode",All,Light,KO/EN,Medium,Not Started,
Theme,Landing,"Hero background, cards, and CTA remain visually balanced in dark mode",All,Dark,KO/EN,Medium,Not Started,
Theme,Map Pages,"Map canvas, controls, badges, and overlays remain legible in light mode",Desktop/Mobile,Light,KO/EN,High,Not Started,
Theme,Map Pages,"Map canvas, controls, badges, and overlays remain legible in dark mode",Desktop/Mobile,Dark,KO/EN,High,Not Started,
Localization,Global,"Language switch between Korean and English works correctly",All,Light/Dark,KO/EN,High,Not Started,
Localization,Global,"No untranslated placeholder keys appear in Korean",All,Light/Dark,KO,High,Not Started,
Localization,Global,"No untranslated placeholder keys appear in English",All,Light/Dark,EN,High,Not Started,
Localization,Global,"Long English strings do not break button or card layouts",All,Light/Dark,EN,High,Not Started,
Localization,Global,"Long Korean strings do not break button or card layouts",All,Light/Dark,KO,High,Not Started,
Localization,Marketing,"Hero, testimonials, pricing, and footer copy match the intended meaning in both languages",All,Light/Dark,KO/EN,High,Not Started,
Localization,Policy Pages,"Terms, privacy, and refund policy are accessible and semantically aligned across KO/EN",All,Light/Dark,KO/EN,High,Not Started,
Localization,Billing,"Billing, receipt, and credit history copy is correct and natural in English",All,Light/Dark,EN,High,Not Started,
Localization,Support,"Support page form labels, errors, and helper text are natural in English",All,Light/Dark,EN,Medium,Not Started,
UI Quality,Global,"Button states are visually distinct for default, hover, active, disabled, and loading",All,Light/Dark,KO/EN,Medium,Not Started,
UI Quality,Global,"Input focus styles are visible and consistent",All,Light/Dark,KO/EN,Medium,Not Started,
UI Quality,Global,"Spacing and alignment feel consistent across sections",All,Light/Dark,KO/EN,Medium,Not Started,
UI Quality,Landing,"Section transitions feel coherent and visually intentional",All,Light/Dark,KO/EN,Low,Not Started,
UI Quality,Landing,"Review cards, CTA buttons, and pricing cards have consistent typography hierarchy",All,Light/Dark,KO/EN,Medium,Not Started,
UI Quality,Maps,"Map toolbar, badges, and dialogs feel visually consistent with the rest of the app",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Structure Map Features,Map Rendering,"Structure Map renders successfully from generated data",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Map Rendering,"Large maps remain navigable and do not visually collapse",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Controls,"Zoom in, zoom out, center, and collapse all work correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Controls,"View/Edit mode switch behaves correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Controls,"Desktop and demo control compositions are consistent where intended",Desktop,Light/Dark,KO/EN,Medium,Not Started,
Structure Map Features,Editing,"Node editing works correctly in edit mode",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Editing,"Attempting to edit in view mode shows the correct guidance",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Structure Map Features,Highlight,"Highlighting nodes works correctly",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Structure Map Features,Notes,"Adding, editing, and deleting notes works correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Terms,"AI term extraction request works correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Structure Map Features,Terms,"Custom term explanation request works correctly",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Structure Map Features,Terms,"Deleting a term works correctly",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Map Library UX,List,"Search input is visible and usable on mobile default state",Mobile,Light/Dark,KO/EN,High,Not Started,
Map Library UX,List,"Tag organize mode and selection mode transition correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Map Library UX,List,"Checkboxes appear correctly in selection mode",Mobile,Light/Dark,KO/EN,High,Not Started,
Map Library UX,List,"Toolbar density and button labels feel compact and readable",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Map Library UX,List,"Preview panel opens and closes correctly from toolbar and list interactions",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Billing and Credits,Payment Success,"Successful Toss payment inserts the correct payment status",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Payment Success,"Successful LemonSqueezy payment inserts the correct payment status",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Payment Failure,"Failed payment is reflected correctly in payment history",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Payment Cancellation,"Closing the Toss payment modal does not freeze the page",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Payment Cancellation,"Closing the Toss payment modal does not leave misleading pending UI states",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Balance,"Paid and reward credit balances display correctly",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,History,"Payment history page displays correct statuses and metadata",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,History,"Credit history page shows correct type, source, and balance changes",All,Light/Dark,KO/EN,High,Not Started,
Billing and Credits,Policy Links,"Billing page links to refund policy correctly",All,Light/Dark,KO/EN,Medium,Not Started,
Policy and Public Pages,Terms,"Terms page is accessible without login",All,Light/Dark,KO/EN,High,Not Started,
Policy and Public Pages,Privacy,"Privacy page is accessible without login",All,Light/Dark,KO/EN,High,Not Started,
Policy and Public Pages,Refund,"Refund policy page is accessible without login",All,Light/Dark,KO/EN,High,Not Started,
Policy and Public Pages,Footer Links,"Footer links to terms, privacy, refund policy, support, and pricing work correctly",All,Light/Dark,KO/EN,High,Not Started,
Policy and Public Pages,Policy Content,"Refund policy reflects current payment and credit rules",All,Light/Dark,KO/EN,High,Not Started,
Policy and Public Pages,Policy Content,"Terms reflect current credit, refund, and transfer restrictions",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,Input Validation,"Empty input shows the correct error message",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,Input Validation,"Over-limit input shows the correct size error message",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,Authentication,"Expired or missing session shows the correct login requirement flow",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,Network,"Network/API failures show understandable error messages",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,Map Data,"Missing or invalid map data shows a graceful fallback",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Error Handling,Payments,"Payment failure and cancellation messages are user-friendly",All,Light/Dark,KO/EN,High,Not Started,
Error Handling,404,"Broken or invalid public URLs show a sensible fallback or 404 page",All,Light/Dark,KO/EN,Medium,Not Started,
Performance and Stability,Loading,"Main landing page loads without major delay",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Performance and Stability,Loading,"Map generation loading states feel stable and informative",All,Light/Dark,KO/EN,High,Not Started,
Performance and Stability,Interaction,"Map interactions remain responsive on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Performance and Stability,Interaction,"Map interactions remain responsive on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Performance and Stability,State,"Refreshing key pages does not cause broken state or hydration issues",All,Light/Dark,KO/EN,High,Not Started,
SEO and Discoverability,Metadata,"Home page title and description are correct",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
SEO and Discoverability,Metadata,"Public policy pages have sensible metadata",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
SEO and Discoverability,Indexing,"Public pages are crawlable and not unintentionally blocked",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
SEO and Discoverability,Indexing,"Sitemap and robots configuration match intended public/private visibility",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Operations and Trust,Business Info,"Footer business information matches current official registration details",All,Light/Dark,KO/EN,High,Not Started,
Operations and Trust,Support,"Support email and contact information are current across public pages",All,Light/Dark,KO/EN,High,Not Started,
Operations and Trust,Trust Signals,"Payment, refund, and no-subscription signals are clearly visible where needed",All,Light/Dark,KO/EN,Medium,Not Started,
Operations and Trust,Consistency,"Brand message is consistent across hero, reviews, pricing, footer, and CTA",All,Light/Dark,KO/EN,High,Not Started,
